settlement_date,settlement_type,opening_day,prev_day,opening_price,prev_close,trend_indicator,direction,settlement_open,settlement_close,pnl_pct,is_red_candle,is_high_open,body_ratio,trend_direction
2025-02-26,weekly,2025-02-20,2025-02-25,22324,22343,19,long,22555,22436,-0.5275992019507869,False,True,0.10638297872340426,up
2025-03-05,weekly,2025-02-27,2025-03-04,22325,22100,-225,short,22220,22254,-0.15301530153015303,False,True,0.5139442231075697,down
2025-03-12,weekly,2025-03-06,2025-03-11,21942,22290,348,long,22112,22146,0.15376266280752532,True,False,0.4725274725274725,up
2025-03-19,monthly,2025-03-13,2025-03-18,22192,22176,-16,short,22431,22150,1.2527305960501092,True,True,0.6898550724637681,down
2025-03-26,weekly,2025-03-20,2025-03-25,22320,22300,-20,short,22205,22070,0.6079711776626886,False,False,0.06020066889632107,down
2025-04-02,weekly,2025-03-27,2025-04-01,22215,21183,-1032,short,20960,21236,-1.316793893129771,False,False,0.31909547738693467,down
2025-04-09,weekly,2025-04-03,2025-04-08,21211,20560,-651,short,21233,21000,1.0973484670089013,False,True,0.7540816326530613,down
2025-04-16,monthly,2025-04-10,2025-04-15,21106,21711,605,long,21066,21517,2.1408905345105858,True,False,0.3573667711598746,up
2025-04-23,weekly,2025-04-17,2025-04-22,21800,21839,39,long,21730,21619,-0.5108145421076852,True,False,0.3401360544217687,up
2025-04-30,weekly,2025-04-24,2025-04-29,21800,22220,420,long,22099,22353,1.1493732748088148,False,False,0.5230125523012552,up
2025-05-07,weekly,2025-05-01,2025-05-06,22291,22318,27,long,22835,22792,-0.18830742281585286,True,True,0.09183673469387756,up
2025-05-14,weekly,2025-05-08,2025-05-13,22553,22884,331,long,23007,23211,0.8866866605815621,False,True,0.9652996845425867,up
2025-05-21,monthly,2025-05-15,2025-05-20,22699,22210,-489,short,22331,22284,0.21046975057095518,False,True,0.289044289044289,down
2025-05-28,weekly,2025-05-22,2025-05-27,22403,22575,172,long,22751,22560,-0.8395235374269262,False,True,0.128099173553719,up
2025-06-04,weekly,2025-05-29,2025-06-03,22770,22789,19,long,22987,23008,0.09135598381694,True,True,0.4606741573033708,up
2025-06-11,weekly,2025-06-05,2025-06-10,22911,22986,75,long,23211,22870,-1.4691310154668045,True,True,0.2557471264367816,up
2025-06-18,monthly,2025-06-12,2025-06-17,23142,23884,742,long,23810,23567,-1.0205795884082318,True,False,0.7193308550185874,up
2025-06-25,weekly,2025-06-19,2025-06-24,23686,23406,-280,short,23611,23561,0.21176570242683496,False,True,0.5257142857142857,down
2025-07-02,weekly,2025-06-26,2025-07-01,23383,23287,-96,short,23650,23326,1.3699788583509513,False,True,0.013953488372093023,down
2025-07-09,weekly,2025-07-03,2025-07-08,23461,22904,-557,short,23016,23055,-0.1694473409801877,False,True,0.56,down
2025-07-16,monthly,2025-07-10,2025-07-15,22397,22781,384,long,22808,23135,1.433707471062785,True,True,0.08503401360544217,up
2025-07-23,weekly,2025-07-17,2025-07-22,23039,23532,493,long,23385,23241,-0.6157793457344451,True,False,0.7107942973523421,up
2025-07-30,weekly,2025-07-24,2025-07-29,23772,23564,-208,short,23013,22869,0.6257332811888932,False,False,0.5606936416184971,down
2025-08-06,weekly,2025-07-31,2025-08-05,23554,22684,-870,short,22840,22805,0.1532399299474606,False,True,0.3355263157894737,down
2025-08-13,weekly,2025-08-07,2025-08-12,22710,22550,-160,short,22641,22850,-0.9231041031756547,False,True,0.505524861878453,down
2025-08-20,monthly,2025-08-14,2025-08-19,22588,22573,-15,short,22805,22746,0.25871519403639553,False,True,0.3378995433789954,down
2025-08-27,weekly,2025-08-21,2025-08-26,22811,23052,241,long,22710,22636,-0.3258476442095993,False,False,0.07453416149068323,up
2025-09-03,weekly,2025-08-28,2025-09-02,23021,22337,-684,short,22395,22268,0.5670908684974324,True,True,0.13059701492537312,down
2025-09-10,weekly,2025-09-04,2025-09-09,22210,22548,338,long,23152,23112,-0.17277125086385625,True,True,0.5990453460620525,up
2025-09-17,monthly,2025-09-11,2025-09-16,22832,23251,419,long,23275,23317,0.18045112781954886,False,True,0.07692307692307693,up
2025-09-24,weekly,2025-09-18,2025-09-23,23321,23252,-69,short,23228,23090,0.5941105562252454,True,False,0.2692307692307692,down
2025-10-01,weekly,2025-09-25,2025-09-30,23235,23107,-128,short,22864,23044,-0.7872638208537439,True,False,0.4951923076923077,down
2025-10-08,weekly,2025-10-02,2025-10-07,22996,23148,152,long,23105,23031,-0.32027699632114265,True,False,0.5085324232081911,up
2025-10-15,monthly,2025-10-09,2025-10-14,22987,22849,-138,short,23196,22698,2.14692188308329,True,True,0.5425531914893617,down
2025-10-22,weekly,2025-10-16,2025-10-21,22767,22893,126,long,23430,23216,-0.9133589415279556,True,True,0.48322147651006714,up
2025-10-29,weekly,2025-10-23,2025-10-28,23249,23326,77,long,23336,23327,-0.03856702091189578,False,True,0.3368421052631579,up
2025-11-05,weekly,2025-10-30,2025-11-04,23194,23214,20,long,22998,23041,0.18697278024176017,False,False,0.5562913907284768,up
