契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,價差對單式委託成交量
TX,202408  ,22368,22401,22166,22343,-22,-0.10%,63139.0,-,-,22342,22351,24442,18836,,
TX,202408  ,22555,22574,22389,22436,75,0.34%,84420.0,22435,27430,22436,22441,24442,18836,,
TX,202408  ,22325,22578,22246,22555,194,0.87%,51466.0,-,-,22553,22557,24442,18836,,
TX,202408  ,22311,22344,22151,22200,-235,-1.05%,47368.0,0,13630,22200,22201,24442,18836,,
TX,202408  ,22441,22496,22254,22313,-122,-0.54%,46391.0,-,-,22304,22313,24442,18836,,
TX,202409  ,22229,22277,22026,22100,-102,-0.46%,72407.0,22100,80840,22100,22104,24441,15810,,
TX,202409  ,22220,22301,22014,22254,52,0.23%,70802.0,-,-,22253,22258,24441,15810,,
TX,202409  ,21942,22170,21865,22129,29,0.13%,67429.0,22123,80092,22125,22128,24441,15810,,
TX,202409  ,22157,22298,21765,21833,-267,-1.21%,92821.0,-,-,21831,21841,24441,15810,,
TX,202409  ,22230,22450,22131,22206,83,0.38%,82518.0,22210,83602,22204,22206,24441,15810,,
TX,202409  ,22118,22439,22075,22290,167,0.75%,85430.0,-,-,22289,22290,24441,15810,,
TX,202409  ,22112,22210,21998,22146,-64,-0.29%,64037.0,22152,81648,22146,22159,24441,15810,,
TX,202409  ,22192,22313,21992,22085,-125,-0.56%,56362.0,-,-,22079,22083,24441,15810,,
TX,202409  ,22181,22414,22048,22401,249,1.12%,77112.0,22405,82358,22400,22404,24441,15810,,
TX,202409  ,22159,22315,22066,22238,86,0.39%,63385.0,-,-,22237,22238,24441,15810,,
TX,202409  ,21938,22245,21900,22176,-229,-1.02%,80378.0,22167,79788,22174,22176,24441,15810,,
TX,202409  ,22431,22552,22099,22150,-255,-1.14%,81462.0,-,-,22150,22158,24441,15810,,
TX,202409  ,22320,22366,22213,22323,156,0.70%,62747.0,22318,82251,22321,22323,24441,15810,,
TX,202409  ,22200,22478,22193,22281,114,0.51%,76830.0,-,-,22278,22281,24441,15810,,
TX,202409  ,22318,22448,22172,22227,-91,-0.41%,72350.0,22212,84141,22224,22232,24441,15810,,
TX,202409  ,22318,22394,22095,22300,-18,-0.08%,67766.0,-,-,22297,22299,24441,15810,,
TX,202409  ,22205,22314,22000,22070,-142,-0.64%,72699.0,22051,82306,22065,22072,24441,15810,,
TX,202409  ,22215,22267,22062,22220,8,0.04%,32432.0,-,-,22210,22220,24441,15810,,
TX,202409  ,21246,21347,20828,20947,-1104,-5.01%,139676.0,20940,75158,20938,20944,24441,15810,,
TX,202409  ,22089,22154,21336,21364,-687,-3.12%,98691.0,-,-,21361,21364,24441,15810,,
TX,202409  ,21310,21454,21056,21183,243,1.16%,85120.0,21183,73170,21179,21185,24441,15810,,
TX,202409  ,20960,21423,20916,21236,296,1.41%,89889.0,-,-,21228,21235,24441,15810,,
TX,202409  ,21211,21435,21013,21319,136,0.64%,92055.0,21316,72351,21316,21320,24441,15810,,
TX,202409  ,21176,21475,21125,21362,179,0.85%,85570.0,-,-,21357,21363,24441,15810,,
TX,202409  ,20734,21125,20616,21073,-243,-1.14%,95274.0,21083,71092,21076,21078,24441,15810,,
TX,202409  ,21299,21530,20550,20560,-756,-3.55%,139419.0,-,-,20558,20562,24441,15810,,
TX,202409  ,21233,21281,20905,21000,-83,-0.39%,96570.0,21005,69425,20998,21000,24441,15810,,
TX,202409  ,21106,21348,21073,21310,227,1.08%,70473.0,-,-,21302,21310,24441,15810,,
TX,202409  ,21100,21130,20950,21005,0,0.00%,74321.0,21006,70009,21005,21009,24441,15810,,
TX,202409  ,21023,21185,20819,21145,140,0.67%,84605.0,-,-,21142,21145,24441,15810,,
TX,202409  ,21597,21780,21461,21711,705,3.36%,91690.0,21703,67746,21707,21711,24441,15810,,
TX,202409  ,21066,21580,20880,21517,511,2.43%,117032.0,-,-,21520,21524,24441,15810,,
TX,202409  ,21800,21833,21657,21820,117,0.54%,74408.0,21815,53424,21820,21824,24441,15810,,
TX,202409  ,21702,21895,21579,21802,99,0.46%,72640.0,-,-,21801,21809,24441,15810,,
TX,202409  ,21807,21871,21735,21813,-2,-0.01%,72650.0,21815,28744,21813,21816,24441,15810,,
TX,202409  ,21789,21892,21745,21839,24,0.11%,42886.0,-,-,21832,21838,24441,15810,,
TX,202409  ,21730,21872,21560,21619,-196,-0.90%,46802.0,0,17137,21618,21619,24441,15810,,
TX,202409  ,21800,21849,21600,21739,-76,-0.35%,44021.0,-,-,21726,21744,24441,15810,,
TX,202410  ,21763,22082,21661,22074,380,1.75%,82818.0,22075,73946,22072,22074,23578,18900,,
TX,202410  ,21714,21950,21605,21651,-43,-0.20%,73900.0,-,-,21650,21652,23578,18900,,
TX,202410  ,22345,22425,22186,22220,145,0.66%,69559.0,22216,77252,22218,22220,23578,18900,,
TX,202410  ,22099,22434,22083,22353,278,1.26%,62929.0,-,-,22349,22353,23578,18900,,
TX,202410  ,22291,22392,22258,22338,122,0.55%,52925.0,22338,79093,22335,22344,23578,18900,,
TX,202410  ,22228,22281,22097,22194,-22,-0.10%,51196.0,-,-,22192,22194,23578,18900,,
TX,202410  ,22298,22508,22152,22491,153,0.68%,77440.0,22493,76019,22490,22492,23578,18900,,
TX,202410  ,22300,22390,22194,22318,-20,-0.09%,47069.0,-,-,22313,22318,23578,18900,,
TX,202410  ,22835,22860,22739,22792,299,1.33%,63897.0,22792,79930,22788,22794,23578,18900,,
